Title,IMDB rating,IMDB votes,Genres,Audience Score,Critic Score,Critics Reviews,Audience Reviews,Streaming Platforms
Nothing Left to Fear,4.4,5238,Horror,17%,9%,11 Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
Stalled,7.5,946,"Short, Sci-Fi, Thriller",14%,,Reviews,50+ Ratings,amazon-prime-video-us
Nightlight,4.4,2369,"Horror, Thriller",,,Reviews,,
The Curse of King Tut's Tomb,4.3,2480,"Adventure, Fantasy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Don't Go in the Woods,3.8,3502,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
13: Game of Death,6.6,6408,"Crime, Drama, Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Jug Face,5.3,7964,"Drama, Horror, Thriller",37%,76%,21 Reviews,"1,000+ Ratings",amazon-prime-video-us
Blessed,4.2,2360,"Drama, Horror, Thriller",,,Reviews,,"vudu, amazon-prime-video-us"
Class of Nuke 'Em High,5.6,9492,"Comedy, Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Sexy Killer: You'll Die for Her,5.6,1642,"Comedy, Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Invisible Agent,6,2656,"Action, Adventure, Romance, Sci-Fi",34%,67%,6 Reviews,250+ Ratings,
American Nightmare,7.5,17604,"Documentary, Crime, Mystery",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Mortician,4.9,1047,"Drama, Thriller",30%,,Reviews,50+ Ratings,"vudu, amazon-prime-video-us"
Deathcember,4.6,917,"Comedy, Horror",,,Reviews,,"peacock, vudu, amazon-prime-video-us"
Inhuman Resources,5.8,2903,"Horror, Thriller",45%,,Reviews,100+ Ratings,"vudu, amazon-prime-video-us"
Voodoo Dawn,3.4,282,Horror,27%,,Reviews,50+ Ratings,
Ruby Gillman: Teenage Kraken,5.7,10808,"Animation, Action, Comedy",81%,65%,98 Reviews,250+ Verified Ratings,"fandango, vudu, amazon-prime-video-us, netflix"
Eddie: The Sleepwalking Cannibal,5.7,1529,"Comedy, Horror",52%,60%,20 Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
Mill Of The Stone Women,,,"Comedy, Horror, Mystery, Sci-Fi, Thriller",57%,,Reviews,250+ Ratings,amazon-prime-video-us
Blue Monkey,4.8,1317,"Horror, Sci-Fi",32%,,Reviews,100+ Ratings,vudu
Bhediya,6.7,24801,"Comedy, Fantasy, Horror, Thriller",85%,62%,13 Reviews,100+ Ratings,
Rattled!,5,274,Crime,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Shuttered Room,5.8,1885,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Homicidal,6.8,3784,"Horror, Mystery, Thriller",67%,73%,11 Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
"Mother, May I?",5.1,2033,"Horror, Thriller",63%,85%,20 Reviews,50+ Ratings,"peacock, vudu, amazon-prime-video-us"
The Mad Magician,6.5,2197,"Drama, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Death Game,5.6,1537,"Horror, Thriller",,,Reviews,,amazon-prime-video-us
Dead & Deader,4.7,1604,"Action, Comedy, Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Night of the Big Heat,5.6,2338,"Horror, Mystery, Sci-Fi, Thriller",34%,,Reviews,100+ Ratings,
Ripper,4.6,3019,"Horror, Thriller",43%,,Reviews,Fewer than 50 Ratings,
Il demonio,7.2,1139,"Drama, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Never Cry Werewolf,4.6,2551,Horror,45%,,Reviews,500+ Ratings,
Splatter University,4,1948,"Horror, Mystery, Thriller",20%,,Reviews,500+ Ratings,amazon-prime-video-us
Runaway Brain,7.3,1309,"Animation, Short, Action, Adventure, Comedy, Family, Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Noblesse: Awakening,7.4,684,"Animation, Short, Action, Fantasy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Bunny the Killer Thing,4.3,1795,"Action, Comedy, Horror",36%,,Reviews,Fewer than 50 Ratings,
Angelica,4.9,879,"Drama, Thriller",,,Reviews,,
Flying Phantom Ship,6.8,775,"Animation, Adventure, Comedy, Family, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Evictors,5.4,1343,"Crime, Drama, Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Bloodthirst,4.7,1125,"Action, Horror, Sci-Fi",,,Reviews,,"vudu, amazon-prime-video-us"
Monster Man,5.6,5183,"Adventure, Comedy, Horror, Thriller",50%,50%,6 Reviews,"5,000+ Ratings",amazon-prime-video-us
Orcs!,3.7,1620,"Action, Comedy, Fantasy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Aaaaaaaah!,4.5,965,"Comedy, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Substitute,6,15693,"Action, Crime, Drama, Thriller",,,Reviews,,
The Sister of Ursula,5.1,1345,"Drama, Horror, Mystery, Thriller",,,Reviews,,
Arang,5.9,1862,"Horror, Thriller",52%,,Reviews,500+ Ratings,vudu
Destination: Infestation,3.1,1044,"Action, Adventure, Drama, Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Destination: Infestation,3.1,1044,"Action, Adventure, Drama, Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Spoiler Alert,7.3,7165,"Comedy, Drama",,,Reviews,,
Phobia 2,6.6,2825,"Comedy, Fantasy, Horror, Mystery, Thriller",60%,,Reviews,250+ Ratings,
From Beyond the Grave,6.6,5298,"Drama, Fantasy, Horror",61%,60%,5 Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
Corpse Party: Book of Shadows,4.2,136,Horror,,,Reviews,,
The Horrible Dr. Hichcock,,,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
"Silent Night, Deadly Night 5: The Toy Maker",4.6,2651,"Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Excess Flesh,3.7,941,"Drama, Horror, Thriller",27%,,Reviews,Fewer than 50 Ratings,vudu
The Hatred,3.6,2574,"Drama, Horror, Mystery, Thriller",,,Reviews,,
Gravy,5.4,1759,"Comedy, Horror",44%,30%,10 Reviews,100+ Ratings,"vudu, amazon-prime-video-us"
Orgies of Edo,6,569,"Drama, Horror",,,Reviews,,
Tuno negro,4.4,1196,"Drama, Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Trunk: Locked In,5.4,1429,"Drama, Thriller",47%,100%,11 Reviews,Fewer than 50 Ratings,amazon-prime-video-us
Primal,8.7,20785,"Animation, Action, Adventure, Drama, Fantasy, Horror",23%,38%,47 Reviews,100+ Ratings,"vudu, amazon-prime-video-us, netflix"
Brutal Massacre: A Comedy,5.7,911,Comedy,42%,,Reviews,250+ Ratings,amazon-prime-video-us
The Vampire Bat,5.7,3049,"Drama, Horror, Mystery, Romance, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Horror of Frankenstein,5.8,2937,"Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Full Metal gokudô,6,1896,"Comedy, Crime, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Krampus: The Devil Returns,1.6,668,"Action, Horror, Thriller",16%,,Reviews,Fewer than 50 Ratings,vudu
Hitori Kakurenbo: Hide-and-Seek,,,"Short, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Mind Rage,3.9,170,Thriller,,,Reviews,,"vudu, amazon-prime-video-us"
He Knows You're Alone,5,4244,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Llanto Maldito,4.3,423,"Drama, Horror",,,Reviews,,
Kaiju No. 8,8.3,990,"Animation, Action, Adventure, Fantasy, Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Human Lanterns,6.6,1102,"Horror, Action",,,Reviews,,amazon-prime-video-us
The Vampire Doll,6.6,1346,Horror,,,Reviews,,amazon-prime-video-us
Silent Predators,4.3,1163,"Horror, Sci-Fi, Thriller",24%,,Reviews,250+ Ratings,amazon-prime-video-us
Ryde,4.9,4600,"Crime, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
388 Arletta Avenue,4.9,2230,"Horror, Thriller",24%,56%,9 Reviews,100+ Ratings,"vudu, amazon-prime-video-us"
Indiana Jones and the Kingdom of the Crystal Skull,6.2,491587,"Action, Adventure",53%,77%,309 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us, disney-plus-us, paramount-plus-us"
The Sitter,4.9,1402,"Drama, Mystery, Thriller",,,Reviews,,
Tribal Get Out Alive,4,4308,"Action, Horror, Thriller",,,Reviews,,amazon-prime-video-us
Curse II: The Bite,4.8,1572,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Mischief Night,4.6,2015,"Drama, Horror, Thriller",65%,100%,5 Reviews,"1,000+ Ratings",
The Night Evelyn Came Out of the Grave,5.8,2926,"Horror, Mystery, Thriller",38%,40%,5 Reviews,"1,000+ Ratings",amazon-prime-video-us
Most Likely to Die,4,4929,Horror,10%,33%,6 Reviews,100+ Ratings,"peacock, vudu, amazon-prime-video-us"
Hard Ride to Hell,3.8,1201,"Action, Horror",13%,,Reviews,100+ Ratings,amazon-prime-video-us
The Tower,6.9,6088,"Crime, Drama, Mystery",,,Reviews,,
I Am Omega,3.3,3354,"Action, Adventure, Drama, Horror, Sci-Fi, Thriller",15%,,Reviews,500+ Ratings,amazon-prime-video-us
Squirm,4.9,6462,Horror,26%,27%,15 Reviews,"2,500+ Ratings",amazon-prime-video-us
The Fantastic Four,,,"Action, Adventure, Sci-Fi",18%,9%,262 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us, max-us"
Azrael,6.7,75,"Action, Horror",,62%,21 Reviews,,
The Last Train to New York - IMDb,,,"Action, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Jersey Shore Massacre,2.9,1421,"Comedy, Horror",17%,20%,10 Reviews,100+ Ratings,amazon-prime-video-us
The Valdemar Legacy II: The Forbidden Shadow,4.6,1007,"Horror, Mystery",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Bloody Moon,5.2,2789,"Horror, Mystery, Thriller",28%,,Reviews,"1,000+ Ratings",amazon-prime-video-us
Macumba Sexual,4.8,760,"Horror, Mystery, Romance",42%,,Reviews,100+ Ratings,
Bite Night,3.4,51,"Horror, Mystery",,,Reviews,,"vudu, amazon-prime-video-us"
Ghosted,5.8,62553,"Action, Adventure, Comedy, Romance",50%,36%,11 Reviews,Fewer than 50 Ratings,
My Girlfriend Is a Serial Killer,5.8,443,"Drama, Horror, Mystery, Romance, Thriller",,,Reviews,,
The Vampire Next Door,4.6,435,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Deadly Games,4,721,"Horror, Mystery",8%,,Reviews,Fewer than 50 Ratings,amazon-prime-video-us
The Haunting of the Tower of London,3.7,1245,"History, Horror",,,Reviews,,"vudu, amazon-prime-video-us"
Piranha Sharks,2.9,618,"Action, Comedy, Drama, Horror, Sci-Fi, Thriller",8%,,Reviews,Fewer than 50 Ratings,
Heckle,3.7,122,"Comedy, Drama, Horror",,22%,9 Reviews,,"vudu, amazon-prime-video-us"
Poltergay,5.4,1267,"Comedy, Fantasy, Horror",40%,60%,5 Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
Swallowed,5.3,2451,"Horror, Thriller",,,Reviews,,
Ouija: Deadly Reunion,2.1,151,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Curse of the Nun,2.8,1221,"Horror, Mystery, Thriller",16%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Incident at Loch Ness,6.5,4424,"Adventure, Comedy, Fantasy, Horror, Mystery, Sci-Fi, Thriller",66%,63%,46 Reviews,"2,500+ Ratings",amazon-prime-video-us
Croc!,2.6,1590,"Action, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Nightworld: Door of Hell,4.4,2448,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Berserker,4.4,1072,Horror,,,Reviews,,
Carnifex,4.7,1030,"Horror, Thriller",28%,,Reviews,Fewer than 50 Ratings,
Killdozer,5,1991,"Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Edge of you axe (Devotion),,,,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Rumpelstiltskin,4.5,2686,"Comedy, Fantasy, Horror",,,Reviews,,
Blood Harvest,4.5,1754,Horror,39%,,Reviews,100+ Ratings,
Puppet Master: The Legacy,2.7,1783,"Fantasy, Horror, Sci-Fi",21%,,Reviews,"5,000+ Ratings","peacock, amazon-prime-video-us"
Handling the Undead,5.9,693,"Drama, Horror, Mystery",,81%,37 Reviews,,
Monster Inside: America's Most Extreme Haunted House,5.5,1485,"Documentary, Crime, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
For Sale,,,"Comedy, Horror",91%,,Reviews,250+ Ratings,
Moontrap,4.8,3790,"Horror, Sci-Fi",27%,,Reviews,500+ Ratings,
Alienator,3.2,1840,"Action, Drama, Fantasy, Sci-Fi",8%,,Reviews,100+ Ratings,
Frightmare,6.2,2658,Horror,54%,,Reviews,500+ Ratings,amazon-prime-video-us
4/20 Massacre,3.8,796,"Action, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Lullaby,3.9,1731,Horror,,,Reviews,,
Red Shoes and the Seven Dwarfs,6.4,5433,"Animation, Action, Adventure, Comedy, Family, Fantasy, Romance",81%,40%,5 Reviews,100+ Ratings,"peacock, vudu, amazon-prime-video-us"
Avoid This Common Mistake At The Time Of Maghreb | Abu Bakr Zoud,,,Talk-Show,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Fear Pharm,4.5,1171,"Comedy, Horror",43%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Cemetery of Terror,5.4,1364,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Little Deaths,4.7,3348,Horror,28%,,Reviews,250+ Ratings,
The Werewolf Game: The Villagers Side,4.9,151,"Horror, Thriller",,,Reviews,,
Snow Falls,2.9,1320,Horror,,,Reviews,,
Tough Guys Don't Dance,4.9,1847,"Comedy, Crime, Drama, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Twisted Nerve,7,2416,"Drama, Thriller",65%,,Reviews,500+ Ratings,
Spectre,6.8,466416,"Action, Adventure, Thriller",44%,,Reviews,100+ Ratings,amazon-prime-video-us
Girl Hell 1999,5,513,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Revamped,3.1,719,"Comedy, Horror",27%,,Reviews,250+ Ratings,
In the Land of Saints and Sinners,6.3,12299,"Action, Crime, Thriller",75%,83%,69 Reviews,100+ Verified Ratings,"fandango, vudu, amazon-prime-video-us"
The Shiver of the Vampires,5.6,2235,"Horror, Mystery",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Violence in a Women's Prison,4.6,989,"Action, Crime, Drama, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Twilight of the Dark Master VHS Commercial,,,,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Let the Corpses Tan,6.2,3457,Thriller,61%,75%,75 Reviews,100+ Ratings,amazon-prime-video-us
Blue Bloods,7.7,47704,"Crime, Drama, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Last Sect,3.5,861,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Pumpkinhead: Ashes to Ashes,4.3,2758,"Fantasy, Horror",24%,,Reviews,"2,500+ Ratings",
Don't Look Down,5.9,3340,"Drama, Romance",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Dark Places,6.2,47808,"Crime, Drama, Mystery, Thriller",40%,,Reviews,Fewer than 50 Ratings,
The Bloodhound,4.9,670,"Mystery, Thriller",,87%,15 Reviews,,amazon-prime-video-us
Bad Impulse,4.1,240,"Drama, Horror, Thriller",,,Reviews,,"vudu, amazon-prime-video-us"
Project: Metalbeast,4.5,1223,"Horror, Sci-Fi",39%,,Reviews,100+ Ratings,"vudu, amazon-prime-video-us"
The Angry Red Planet,5.3,3723,"Adventure, Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Lucky Stiff,4.7,477,"Comedy, Horror",31%,,Reviews,100+ Ratings,
Nightbitch,,,"Comedy, Drama, Horror",,,Reviews,,
Aztech,5.7,68,"Fantasy, Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Where's Officer Tuba?,5.9,272,"Action, Comedy, Fantasy",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Gremlin,3.8,1165,"Horror, Sci-Fi, Thriller",37%,,Reviews,50+ Ratings,"vudu, amazon-prime-video-us"
Vamp U,4,2893,"Action, Comedy, Horror",23%,,Reviews,100+ Ratings,"peacock, amazon-prime-video-us"
Entrei em Pânico ao Saber o que Vocês Fizeram na Sexta-feira 13 do Verão Passado Parte 2 - A Hora da Volta da Vingança dos Jogos Mortais de Halloween,5.8,45,"Comedy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Cleaning Lady,7,10122,"Crime, Drama, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
